tag,mark_file,site,first_time,last_time,first_antenna_group,last_antenna_group,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,release_site,count
3DD.0078E12C75,AJG-2026-204-001.json,RRF - Rocky Reach Fishway,8/10/2026 11:55:20 AM,8/10/2026 9:25:55 PM,Lower Weir,Trap,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C7C,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/5/2026 1:18:19 AM,8/5/2026 7:46:31 AM,Right Ladder Pool 19,Right Ladder Pool 68,7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C7E,AJG-2026-204-001.json,LMR - Lower Methow River at Pateros,8/4/2026 1:23:37 AM,8/4/2026 1:23:37 AM,Upstream Array,Upstream Array,7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C7E,AJG-2026-204-001.json,MRC - Methow River at Carlton,8/9/2026 12:50:33 AM,8/9/2026 12:50:33 AM,Single Array,Single Array,7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C7E,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",7/28/2026 2:21:10 AM,7/28/2026 8:02:28 AM,Right Ladder Pool 19,Right Ladder Pool 68,7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C81,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/4/2026 2:22:57 AM,8/7/2026 8:59:36 AM,Right Ladder Pool 19,Right Ladder Pool 19,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C8A,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",7/28/2026 2:19:20 PM,7/28/2026 2:23:42 PM,Right Ladder Pool 67,Right Ladder Pool 68,7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C8B,AJG-2026-204-001.json,LMR - Lower Methow River at Pateros,8/17/2026 12:37:26 AM,8/17/2026 12:37:34 AM,Downstream Array,Upstream Array,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C8B,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/14/2026 10:00:09 PM,8/15/2026 5:24:40 AM,Left Ladder Pool 19,Left Ladder Pool 68,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C8C,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/6/2026 2:10:38 AM,8/7/2026 9:14:10 PM,Right Ladder Pool 19,Right Ladder Pool 68,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C8E,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/12/2026 1:09:58 AM,8/12/2026 5:15:48 AM,Left Ladder Pool 19,Left Ladder Pool 68,8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
