tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,radio_tag,mark_count
3DD.0078E1287D,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,46,1
3DD.0078E12880,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,56,1
3DD.0078E12881,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,58,1
3DD.0078E12883,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,32,1
3DD.0078E12886,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,47,1
3DD.0078E12889,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,93,1
3DD.0078E1288C,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,98,1
3DD.0078E1288D,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,71,1
3DD.0078E1288E,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,63,1
3DD.0078E12893,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,72,1
3DD.0078E12895,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,75,1
3DD.0078E12896,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,69,1
3DD.0078E12898,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,43,1
3DD.0078E1289B,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,70,1
3DD.0078E1289E,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,96,1
3DD.0078E128A0,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,80,1
3DD.0078E128A7,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,97,1
3DD.0078E12C2F,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,42,1
3DD.0078E12C31,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,87,1
3DD.0078E12C32,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,81,1
3DD.0078E12C33,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
3DD.0078E12C34,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,11,1
3DD.0078E12C35,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,38,1
3DD.0078E12C36,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,94,1
3DD.0078E12C38,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
3DD.0078E12C39,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
3DD.0078E12C3B,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,20,1
3DD.0078E12C3C,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/23/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,16,1
3DD.0078E12C3D,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/23/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,8,1
3DD.0078E12C3E,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
3DD.0078E12C40,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/23/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,22,1
3DD.0078E12C41,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,88,1
3DD.0078E12C42,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,84,1
3DD.0078E12C44,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,86,1
3DD.0078E12C46,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
3DD.0078E12C47,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/30/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,NA,1
