tag,mark_file,site,first_time,last_time,first_antenna_group,last_antenna_group,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,release_site,count
3DD.003B9C10E1,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:24:16 AM,8/11/2018 2:24:16 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10E5,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/31/2018 10:39:56 PM,8/31/2018 10:39:56 PM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10E5,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,9/6/2018 11:27:20 PM,9/6/2018 11:27:20 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10E9,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,5/31/2019 8:27:44 PM,5/31/2019 8:31:27 PM,UPSTREAM ARRAY,DOWNSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10EA,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 1:40:13 AM,8/11/2018 1:40:21 AM,Downstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10EA,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/17/2018 12:16:56 AM,8/17/2018 12:16:56 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10EB,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 11:18:02 PM,8/11/2018 11:18:02 PM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10EC,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 4:08:08 AM,8/11/2018 4:08:08 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10ED,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,8/18/2018 2:09:48 AM,8/18/2018 2:11:19 AM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10ED,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:25:06 AM,8/11/2018 2:25:17 AM,Downstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10ED,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/14/2018 11:27:06 PM,8/14/2018 11:27:06 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10EE,AJG-2018-222-CDK.xml,CRU - Upper Chewuch Instream Array,9/1/2018 1:29:12 AM,5/23/2019 11:31:13 PM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10EE,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,8/18/2018 9:38:12 PM,8/18/2018 9:39:35 PM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10EE,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 1:29:53 AM,8/11/2018 1:29:53 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10F0,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:42:53 AM,8/11/2018 2:42:53 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10F0,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/14/2018 10:31:49 PM,8/14/2018 10:31:49 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10F2,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/16/2018 11:18:49 PM,7/20/2019 2:56:44 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10F5,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,8/19/2018 12:05:46 AM,8/19/2018 12:07:28 AM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10F5,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 12:40:59 AM,8/11/2018 12:40:59 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10F5,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/14/2018 11:14:34 PM,8/14/2018 11:14:34 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10F6,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,4/20/2019 11:53:21 PM,6/7/2019 2:16:20 AM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10F6,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 1:33:56 AM,8/11/2018 1:34:06 AM,Downstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10F8,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 3:50:02 AM,8/11/2018 3:50:09 AM,Downstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10F8,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/15/2018 2:54:39 AM,8/15/2018 2:54:39 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10FA,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,4/25/2019 8:56:50 PM,5/28/2019 5:48:21 PM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10FA,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 8:02:10 PM,8/11/2018 8:02:10 PM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10FE,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 1:31:56 AM,8/11/2018 1:32:06 AM,Downstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
