tag_code,life_stage,release_site_label,release_site_code,release_site_name,release_date,release_year,release_lat,release_lon,length_mm
3D9.1A4FA10410,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,127
3D9.1A4FA10411,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,2021,48.151085,-120.056584,117
3D9.1A4FA10412,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,101
3D9.1A4FA10413,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,2021,48.151085,-120.056584,119
3D9.1A4FA10414,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,118
3D9.1A4FA10415,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,97
3D9.1A4FA10416,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,2021,48.151085,-120.056584,128
3D9.1A4FA10417,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,122
3D9.1A4FA10418,Macropthalmia (eyed juvenile),METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,134
3D9.1A4FA10419,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,105
3D9.1A4FA1041A,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,121
3D9.1A4FA1041B,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,130
3D9.1A4FA1041C,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,2021,48.151085,-120.056584,118
3D9.1A4FA1041D,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,133
3D9.1A4FA1041E,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,123
3D9.1A4FA1041F,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,143
3D9.1A4FA10420,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,100
